                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2782,                  2.726,                 3.7708,                0.00363,                0.12246,                 0.0021,                0.00048,                 3.1162,                 3.9401,                 4.2338,             0.00065891,             0.00065891,             0.00065891
                      2,                 2.1465,                 1.6834,                 2.5247,                  0.801,                0.78547,                0.85242,                0.47125,                 1.5909,                 1.3149,                  2.156,              0.0013125,              0.0013125,              0.0013125
                      3,                 1.4635,                 1.0936,                 1.8335,                0.95783,                0.90666,                0.97274,                0.63764,                 1.2591,                0.86147,                 1.6493,              0.0019528,              0.0019528,              0.0019528
                      4,                 1.2123,                0.87136,                 1.5737,                0.97172,                0.94974,                0.98942,                0.76543,                0.89201,                0.65588,                 1.3656,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0008,                 0.7221,                 1.3755,                0.99332,                0.97101,                0.99395,                 0.8298,                0.67928,                0.54258,                 1.1393,              0.0019406,              0.0019406,              0.0019406
                      6,                0.88253,                0.61998,                  1.263,                0.97494,                0.98753,                0.99346,                0.84096,                0.66124,                0.50596,                 1.1111,              0.0019208,              0.0019208,              0.0019208
                      7,                0.80695,                0.55749,                 1.1943,                0.98358,                0.98877,                0.99254,                0.86762,                0.56562,                 0.4192,                 1.0442,               0.001901,               0.001901,               0.001901
                      8,                0.74215,                0.51321,                 1.1459,                0.98969,                0.98181,                0.99379,                0.84758,                0.60096,                0.43249,                 1.0541,              0.0018812,              0.0018812,              0.0018812
                      9,                0.68245,                0.48306,                 1.1036,                0.99141,                0.99574,                0.99458,                0.87397,                0.52432,                0.39331,                 0.9853,              0.0018614,              0.0018614,              0.0018614
                     10,                0.64365,                0.45653,                 1.0696,                0.98693,                0.99556,                0.99351,                 0.8947,                0.51103,                0.36721,                0.97144,              0.0018416,              0.0018416,              0.0018416
                     11,                0.59215,                0.42751,                 1.0401,                0.99275,                0.99596,                0.99489,                0.91301,                0.42813,                0.33627,                 0.9222,              0.0018218,              0.0018218,              0.0018218
                     12,                0.57749,                0.41193,                 1.0275,                0.99413,                0.99593,                0.99496,                0.91414,                 0.4331,                0.32493,                0.92696,               0.001802,               0.001802,               0.001802
                     13,                0.56492,                 0.3979,                 1.0165,                0.99532,                0.99618,                0.99476,                0.92214,                0.42491,                0.31729,                0.92249,              0.0017822,              0.0017822,              0.0017822
                     14,                0.55286,                0.38632,                0.99939,                0.99337,                0.99704,                0.99488,                0.93776,                0.36165,                0.28599,                0.87471,              0.0017624,              0.0017624,              0.0017624
                     15,                 0.5304,                0.37233,                0.98675,                0.99492,                0.99581,                0.99496,                0.92615,                0.40212,                0.29703,                0.88643,              0.0017426,              0.0017426,              0.0017426
                     16,                0.52264,                0.36115,                0.98075,                0.99581,                0.99573,                0.99496,                 0.9401,                0.37196,                0.27994,                0.88052,              0.0017228,              0.0017228,              0.0017228
                     17,                0.49806,                0.35523,                0.97329,                 0.9944,                0.99655,                0.99478,                0.93496,                0.37542,                0.27497,                0.87355,               0.001703,               0.001703,               0.001703
                     18,                 0.4723,                0.34078,                0.95364,                0.99533,                0.99667,                0.99492,                0.96271,                 0.3255,                0.25778,                0.85616,              0.0016832,              0.0016832,              0.0016832
                     19,                0.46059,                0.33286,                0.94469,                0.99652,                0.99532,                0.99496,                0.94644,                0.35371,                0.26577,                0.86043,              0.0016634,              0.0016634,              0.0016634
                     20,                0.45629,                0.32802,                0.93816,                0.99556,                0.99438,                0.99498,                0.96044,                0.31704,                0.24784,                0.84543,              0.0016436,              0.0016436,              0.0016436
                     21,                0.45586,                0.32625,                0.94122,                0.99561,                0.99581,                0.99494,                0.95658,                0.32219,                0.25607,                0.85085,              0.0016238,              0.0016238,              0.0016238
                     22,                0.42929,                0.31554,                0.93025,                0.99443,                0.99828,                0.99497,                0.95153,                0.32796,                0.25694,                0.85035,               0.001604,               0.001604,               0.001604
                     23,                0.43533,                0.31648,                0.92833,                0.99611,                0.99754,                0.99494,                0.95903,                0.31982,                0.24683,                0.84087,              0.0015842,              0.0015842,              0.0015842
                     24,                0.42712,                 0.3087,                0.92837,                 0.9968,                0.99774,                0.99499,                0.96184,                0.31383,                0.23563,                0.83962,              0.0015644,              0.0015644,              0.0015644
                     25,                0.41915,                0.30431,                0.92137,                0.99618,                0.99693,                 0.9949,                0.96645,                0.30227,                0.23467,                0.83797,              0.0015446,              0.0015446,              0.0015446
                     26,                0.40917,                0.29764,                0.91498,                0.99692,                0.99697,                0.99489,                0.97199,                0.28192,                0.22747,                0.82605,              0.0015248,              0.0015248,              0.0015248
                     27,                0.40898,                0.29942,                0.91692,                 0.9956,                0.99729,                0.99499,                0.97301,                  0.285,                0.22178,                0.82805,               0.001505,               0.001505,               0.001505
                     28,                0.39279,                0.29049,                0.90356,                0.99726,                0.99692,                0.99499,                0.97224,                0.27329,                 0.2193,                0.82481,              0.0014852,              0.0014852,              0.0014852
