                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9362,                 2.8232,                 3.7744,                 0.0038,                 0.1349,                0.00217,                0.00054,                 3.0959,                 3.7665,                 4.2052,             0.00065891,             0.00065891,             0.00065891
                      2,                 1.8758,                 1.6039,                  2.461,                0.68044,                0.59406,                0.66702,                0.35005,                 1.8911,                 1.5615,                 2.4315,              0.0011943,              0.0011943,              0.0011943
                      3,                 1.3939,                  1.085,                 1.9089,                0.95011,                0.88752,                0.96129,                0.63769,                 1.2498,                0.91037,                 1.7446,              0.0015978,              0.0015978,              0.0015978
                      4,                 1.1236,                0.84191,                 1.6244,                0.97382,                0.93953,                0.98538,                0.69861,                 1.0079,                0.72031,                 1.4875,               0.001406,               0.001406,               0.001406
                      5,                0.96135,                0.69908,                 1.4603,                0.98201,                0.96403,                0.99176,                0.76765,                 0.8694,                0.60447,                 1.3352,               0.001406,               0.001406,               0.001406
                      6,                0.82514,                0.59607,                 1.3239,                0.99347,                0.97622,                0.99417,                0.84519,                0.66167,                0.47038,                 1.1884,               0.001208,               0.001208,               0.001208
                      7,                0.70286,                0.50957,                 1.2191,                0.98896,                0.98608,                0.99468,                0.84693,                0.62187,                0.44273,                 1.1422,                0.00101,                0.00101,                0.00101
                      8,                0.62852,                0.45353,                  1.145,                0.99291,                0.98374,                0.99472,                0.89207,                0.54664,                0.40495,                 1.0814,               0.000812,               0.000812,               0.000812
                      9,                0.58511,                0.43106,                  1.108,                0.99552,                0.98492,                0.99487,                0.88316,                0.53141,                0.38562,                 1.0514,               0.000614,               0.000614,               0.000614
                     10,                0.53132,                0.40323,                 1.0613,                0.99115,                0.99315,                 0.9949,                0.91615,                0.44709,                0.34348,                 1.0032,               0.000416,               0.000416,               0.000416
