                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.285,                 5.1418,                  4.013,                0.58332,                0.16352,                0.10623,                0.03512,                  2.551,                 3.6844,                 3.3673,             0.00012802,             0.00012802,             0.00012802
                      2,                 2.3541,                 3.5698,                 2.9189,                0.61311,                0.36761,                0.43354,                0.23247,                 1.6855,                 2.2814,                 2.3203,             0.00025127,             0.00025127,             0.00025127
                      3,                 1.6943,                 2.4915,                 2.1886,                0.61874,                0.67416,                0.70941,                0.47126,                 1.2177,                 1.5595,                 1.8095,             0.00036945,             0.00036945,             0.00036945
                      4,                 1.3566,                 1.8577,                 1.8155,                0.78568,                 0.7397,                0.82236,                0.60729,                 1.0043,                 1.1292,                 1.5508,             0.00036213,             0.00036213,             0.00036213
                      5,                 1.1841,                 1.4907,                 1.6207,                0.88662,                0.85314,                0.90738,                0.71814,                0.85092,                 1.0109,                 1.3646,             0.00036213,             0.00036213,             0.00036213
                      6,                  1.062,                  1.256,                 1.4874,                0.89565,                0.89759,                0.94493,                0.77118,                0.75366,                0.79877,                 1.2564,             0.00035451,             0.00035451,             0.00035451
                      7,                0.99028,                 1.1098,                 1.4149,                0.93154,                0.89484,                0.95978,                0.79894,                0.71124,                  0.713,                 1.1991,             0.00034689,             0.00034689,             0.00034689
                      8,                0.91618,                0.98365,                 1.3376,                0.95337,                0.93436,                0.97017,                0.81756,                0.65178,                 0.6327,                 1.1455,             0.00033926,             0.00033926,             0.00033926
                      9,                0.86613,                0.90623,                 1.2958,                 0.9558,                0.95092,                0.97609,                0.83505,                0.60212,                0.58569,                  1.108,             0.00033164,             0.00033164,             0.00033164
                     10,                0.82568,                0.83546,                 1.2616,                0.96023,                0.94934,                0.97736,                0.85097,                0.56789,                0.53693,                  1.071,             0.00032402,             0.00032402,             0.00032402
                     11,                0.79883,                0.79375,                 1.2376,                0.97155,                 0.9557,                0.98118,                0.86457,                0.53149,                0.51465,                 1.0328,             0.00031639,             0.00031639,             0.00031639
                     12,                0.76336,                0.74083,                 1.2093,                0.96354,                0.96073,                0.98121,                0.86213,                  0.525,                0.47836,                 1.0237,             0.00030877,             0.00030877,             0.00030877
                     13,                0.74301,                 0.7101,                 1.1925,                0.96918,                0.97464,                0.98486,                0.87198,                0.50733,                 0.4442,                 1.0184,             0.00030115,             0.00030115,             0.00030115
                     14,                0.70908,                0.66702,                  1.161,                0.96999,                0.97176,                0.98582,                0.88612,                 0.4709,                0.42546,                 0.9857,             0.00029352,             0.00029352,             0.00029352
                     15,                0.69675,                 0.6446,                 1.1524,                0.97695,                0.97309,                0.98627,                0.88774,                0.46646,                0.41142,                0.98194,              0.0002859,              0.0002859,              0.0002859
                     16,                 0.6787,                0.61797,                 1.1363,                0.97451,                0.97093,                0.98522,                0.88658,                0.45775,                 0.3987,                0.97347,             0.00027828,             0.00027828,             0.00027828
                     17,                 0.6629,                0.59815,                 1.1252,                0.96991,                0.97055,                0.98627,                0.89907,                0.43745,                0.38232,                0.95863,             0.00027065,             0.00027065,             0.00027065
                     18,                0.64434,                0.57206,                 1.1082,                0.96933,                0.98042,                 0.9861,                0.89701,                0.44281,                0.37407,                0.95249,             0.00026303,             0.00026303,             0.00026303
                     19,                0.63666,                0.56698,                 1.0997,                0.97597,                0.98317,                0.98736,                 0.9063,                0.41518,                0.35995,                0.94306,             0.00025541,             0.00025541,             0.00025541
                     20,                0.62371,                0.55034,                 1.0968,                0.96442,                0.98071,                0.98749,                0.90212,                0.42633,                0.35958,                 0.9438,             0.00024779,             0.00024779,             0.00024779
                     21,                0.61428,                0.53865,                 1.0911,                0.97416,                0.98908,                0.98758,                0.91093,                0.39833,                0.33567,                 0.9282,             0.00024016,             0.00024016,             0.00024016
                     22,                0.60215,                0.52031,                 1.0775,                0.97523,                0.98429,                0.98776,                0.91516,                0.39809,                0.33385,                0.92238,             0.00023254,             0.00023254,             0.00023254
                     23,                0.59126,                 0.5038,                  1.071,                0.97561,                0.98754,                0.98779,                0.92208,                0.37431,                0.32244,                0.90769,             0.00022492,             0.00022492,             0.00022492
                     24,                 0.5832,                0.50467,                 1.0664,                0.98007,                0.98033,                0.98888,                0.92113,                0.37933,                0.32254,                0.91011,             0.00021729,             0.00021729,             0.00021729
                     25,                0.57572,                0.48774,                 1.0622,                0.97779,                0.98768,                0.98945,                0.92717,                0.36532,                0.30648,                0.90411,             0.00020967,             0.00020967,             0.00020967
                     26,                0.56387,                0.47769,                  1.049,                0.97577,                0.98895,                0.98844,                0.92752,                 0.3611,                0.30282,                0.89642,             0.00020205,             0.00020205,             0.00020205
                     27,                0.55461,                0.46516,                 1.0423,                0.97937,                0.98939,                0.98937,                0.93051,                0.35327,                0.29299,                0.89474,             0.00019442,             0.00019442,             0.00019442
                     28,                0.54566,                0.46421,                 1.0389,                0.98044,                 0.9868,                0.99028,                0.93472,                0.34885,                 0.2908,                0.88961,              0.0001868,              0.0001868,              0.0001868
                     29,                0.54064,                0.45284,                  1.034,                0.97932,                0.98911,                 0.9896,                0.93436,                0.33979,                0.28549,                0.88267,             0.00017918,             0.00017918,             0.00017918
                     30,                 0.5339,                0.44508,                 1.0288,                0.97755,                0.98897,                0.99007,                0.93535,                0.33816,                0.28403,                0.88107,             0.00017156,             0.00017156,             0.00017156
                     31,                0.52912,                0.44567,                 1.0251,                0.97702,                0.99005,                0.98996,                0.93981,                0.32675,                0.27792,                0.87489,             0.00016393,             0.00016393,             0.00016393
