                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5357,                 5.3444,                 4.3305,                      0,                      0,                      0,                      0,                 3.2092,                 5.1495,                 4.1749,             0.00010275,             0.00010275,             0.00010275
                      2,                 3.3561,                 4.9055,                 4.0544,                      0,                      0,                      0,                      0,                 3.2099,                    5.2,                 4.1866,             0.00020299,             0.00020299,             0.00020299
                      3,                 3.0848,                 4.3209,                 3.7519,                0.33409,                0.15231,                0.10452,                0.03796,                 2.6221,                 3.4042,                 3.6553,             0.00029909,             0.00029909,             0.00029909
                      4,                 2.8232,                 3.6101,                 3.4254,                0.23045,                0.27736,                0.16533,                0.07036,                 2.4068,                 2.8428,                 3.4529,             0.00029441,             0.00029441,             0.00029441
                      5,                 2.5327,                 3.0587,                  3.113,                0.36666,                0.40117,                0.32634,                0.14131,                 2.2159,                 2.3163,                 3.0797,             0.00028821,             0.00028821,             0.00028821
                      6,                  2.291,                 2.6575,                 2.8538,                0.56749,                0.58024,                0.63067,                0.33187,                 1.8478,                 1.7693,                 2.6466,             0.00028201,             0.00028201,             0.00028201
                      7,                  2.046,                 2.3259,                 2.5963,                0.70821,                0.67504,                0.76706,                0.46305,                 1.6013,                 1.4011,                 2.4155,             0.00027582,             0.00027582,             0.00027582
                      8,                 1.8864,                 2.0653,                 2.4331,                0.75513,                0.73817,                0.84221,                0.56856,                 1.3706,                 1.2873,                 2.2247,             0.00026962,             0.00026962,             0.00026962
                      9,                 1.7212,                 1.8888,                 2.2809,                0.82193,                0.78552,                0.86246,                0.60591,                 1.2646,                  1.148,                 2.0487,             0.00026342,             0.00026342,             0.00026342
                     10,                 1.5971,                 1.7413,                 2.1455,                0.82679,                0.84136,                0.89168,                0.63185,                 1.2285,                 1.0068,                 1.9695,             0.00025722,             0.00025722,             0.00025722
                     11,                 1.4926,                 1.6048,                 2.0431,                0.84503,                0.84542,                0.90617,                0.67213,                  1.125,                0.95077,                 1.8418,             0.00025103,             0.00025103,             0.00025103
                     12,                 1.4172,                 1.5002,                 1.9462,                0.87058,                 0.8832,                0.91728,                0.68613,                 1.1085,                0.93093,                 1.8232,             0.00024483,             0.00024483,             0.00024483
                     13,                  1.349,                 1.4537,                 1.8854,                0.88123,                0.87247,                0.92245,                0.70557,                  1.025,                0.94145,                 1.7142,             0.00023863,             0.00023863,             0.00023863
                     14,                  1.287,                 1.3754,                 1.8173,                0.90981,                0.90312,                0.93332,                0.73823,                0.93838,                 0.7977,                 1.6212,             0.00023243,             0.00023243,             0.00023243
                     15,                 1.2292,                 1.3049,                 1.7576,                0.90192,                0.90731,                0.92931,                0.74634,                0.89593,                0.79235,                 1.5755,             0.00022624,             0.00022624,             0.00022624
                     16,                 1.1976,                 1.2721,                 1.7305,                0.90241,                0.92244,                 0.9332,                0.75872,                0.86577,                0.72888,                 1.5354,             0.00022004,             0.00022004,             0.00022004
