                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.292,                 5.2265,                 4.1868,                0.68623,                0.04909,                0.03943,                0.01401,                  2.728,                 3.5808,                 3.7236,             0.00010392,             0.00010392,             0.00010392
                      2,                 2.7273,                 3.8421,                 3.3597,                0.47789,                0.33873,                0.32963,                0.13637,                 1.9975,                  2.268,                 2.8057,             0.00020413,             0.00020413,             0.00020413
                      3,                 2.0926,                 2.8558,                 2.6443,                0.64975,                0.50081,                0.55989,                 0.2969,                  1.461,                 2.0786,                 2.1409,             0.00030021,             0.00030021,             0.00030021
                      4,                 1.6717,                 2.1932,                  2.199,                0.76505,                  0.705,                0.79639,                0.53586,                 1.1895,                 1.4189,                 1.7996,             0.00029441,             0.00029441,             0.00029441
                      5,                 1.4012,                 1.7481,                 1.9148,                0.80299,                0.75511,                0.85445,                0.62502,                0.97897,                 1.1381,                 1.5984,             0.00028821,             0.00028821,             0.00028821
                      6,                 1.2568,                 1.4995,                 1.7527,                0.87568,                0.84695,                0.88881,                0.68265,                0.90396,                0.88932,                 1.4619,             0.00028201,             0.00028201,             0.00028201
                      7,                  1.152,                 1.3252,                 1.6479,                0.86684,                0.84957,                0.90142,                0.72591,                0.78675,                0.76808,                 1.3628,             0.00027582,             0.00027582,             0.00027582
                      8,                 1.0527,                 1.1704,                 1.5466,                0.91194,                0.91027,                0.93085,                0.76412,                0.72916,                0.68751,                 1.2956,             0.00026962,             0.00026962,             0.00026962
                      9,                 1.0076,                 1.0725,                 1.4886,                0.92022,                0.90748,                0.93256,                0.78606,                0.66724,                0.65146,                 1.2244,             0.00026342,             0.00026342,             0.00026342
                     10,                0.95333,                0.99048,                 1.4307,                0.97011,                0.91864,                0.97961,                0.82687,                0.65817,                0.61163,                 1.2118,             0.00025722,             0.00025722,             0.00025722
                     11,                0.91778,                0.93545,                 1.3984,                0.97478,                0.91912,                0.96009,                0.81053,                0.62993,                0.56432,                 1.1681,             0.00025103,             0.00025103,             0.00025103
                     12,                0.89292,                0.88527,                  1.367,                0.97943,                0.91062,                0.94142,                0.81773,                0.58257,                0.53301,                 1.1235,             0.00024483,             0.00024483,             0.00024483
                     13,                0.85764,                0.84336,                 1.3363,                0.98326,                0.92662,                 0.9487,                 0.8362,                0.56124,                0.53051,                 1.1035,             0.00023863,             0.00023863,             0.00023863
                     14,                0.82498,                0.78622,                 1.3031,                0.97667,                0.92472,                0.98258,                0.87143,                0.54803,                0.50048,                 1.0833,             0.00023243,             0.00023243,             0.00023243
                     15,                0.80228,                0.75763,                 1.2871,                0.98045,                0.93084,                0.94803,                0.84413,                0.52002,                0.46104,                 1.0571,             0.00022624,             0.00022624,             0.00022624
                     16,                0.78373,                   0.72,                 1.2606,                0.98172,                0.93105,                0.99091,                0.89422,                0.49774,                0.44545,                 1.0346,             0.00022004,             0.00022004,             0.00022004
                     17,                0.77152,                0.70026,                 1.2502,                0.96718,                0.92931,                0.98638,                0.87543,                0.50577,                0.43918,                 1.0385,             0.00021384,             0.00021384,             0.00021384
                     18,                0.75708,                0.68157,                 1.2317,                0.92409,                0.98886,                0.98857,                 0.8855,                0.49235,                0.42695,                 1.0196,             0.00020764,             0.00020764,             0.00020764
                     19,                 0.7419,                0.65229,                 1.2158,                 0.9815,                0.93154,                0.98769,                0.90697,                0.47126,                0.39997,                 1.0049,             0.00020145,             0.00020145,             0.00020145
                     20,                0.72303,                0.63361,                 1.2088,                0.97928,                0.93784,                0.98885,                0.89025,                   0.48,                0.39982,                 1.0041,             0.00019525,             0.00019525,             0.00019525
                     21,                0.71165,                 0.6272,                 1.1952,                0.98061,                0.93557,                0.99203,                0.90656,                0.45722,                 0.3945,                0.98888,             0.00018905,             0.00018905,             0.00018905
                     22,                0.70657,                0.60937,                 1.1906,                0.92967,                0.98828,                0.98946,                 0.8984,                0.47974,                0.39803,                0.99701,             0.00018285,             0.00018285,             0.00018285
                     23,                0.69415,                0.59096,                 1.1819,                0.90404,                0.99032,                0.99253,                0.89718,                0.46255,                0.38161,                0.98104,             0.00017666,             0.00017666,             0.00017666
                     24,                0.67586,                0.57553,                 1.1622,                0.90865,                0.99199,                0.98988,                0.90607,                0.43779,                0.36852,                0.96396,             0.00017046,             0.00017046,             0.00017046
                     25,                0.66398,                0.56319,                 1.1527,                0.95237,                0.98782,                0.99203,                0.92026,                0.43983,                0.35951,                0.96793,             0.00016426,             0.00016426,             0.00016426
                     26,                0.65639,                0.55484,                 1.1515,                0.94952,                0.98415,                0.98847,                0.91041,                0.41967,                0.36032,                0.95766,             0.00015807,             0.00015807,             0.00015807
                     27,                0.65311,                0.54747,                  1.143,                0.98022,                 0.9868,                0.99245,                0.92199,                0.42486,                0.34281,                0.95632,             0.00015187,             0.00015187,             0.00015187
                     28,                0.64221,                0.53907,                   1.14,                0.97787,                0.98421,                 0.9917,                0.92287,                0.42157,                 0.3461,                0.94915,             0.00014567,             0.00014567,             0.00014567
                     29,                0.63183,                0.52279,                 1.1231,                0.97305,                 0.9931,                0.99219,                0.92602,                0.41792,                0.34041,                  0.944,             0.00013947,             0.00013947,             0.00013947
                     30,                0.62718,                0.51477,                 1.1229,                  0.971,                0.99335,                0.99329,                0.92517,                 0.4032,                0.33432,                0.93647,             0.00013328,             0.00013328,             0.00013328
